taxon 1,taxon 2,Cij,Iij
Norovirus_GI.1a,Norovirus_GIV.1i,0.936413,0.063587
Norovirus_GI.1a,Norovirus_GIV.1j,0.936413,0.063587
Norovirus_GI.1a,Norovirus_GV.1a,0.904891,0.0951087
Norovirus_GI.1a,Norovirus_GV.1b,0.910326,0.0896739
Norovirus_GI.1a,Norovirus_GV.1c,0.909783,0.0902174
Norovirus_GI.1a,Norovirus_GV.1d,0.905435,0.0945652
Norovirus_GI.1a,Norovirus_GV.1e,0.904891,0.0951087
Norovirus_GI.1a,Norovirus_GV.1f,0.905435,0.0945652
Norovirus_GI.1a,Norovirus_GV.1g,0.905435,0.0945652
Norovirus_GI.1a,Norovirus_GV.1h,0.904891,0.0951087
Norovirus_GI.1a,Norovirus_GV.1i,0.904891,0.0951087
Norovirus_GI.1a,Norovirus_GV.1j,0.904891,0.0951087
Norovirus_GI.1a,Norovirus_GVI.1a,0.940761,0.0592391
Norovirus_GI.1a,Norovirus_GVI.1b,0.940761,0.0592391
Norovirus_GI.1a,Norovirus_GVI.1c,0.93913,0.0608696
Norovirus_GI.1a,Norovirus_GVI.1d,0.938043,0.0619565
Norovirus_GI.1a,Norovirus_GVI.1e,0.938043,0.0619565
Norovirus_GI.1a,Norovirus_GVI.1f,0.936957,0.0630435
Norovirus_GI.1a,Norovirus_GVI.1g,0.936957,0.0630435
Norovirus_GI.1a,Norovirus_GVI.1h,0.934783,0.0652174
Norovirus_GI.1a,Norovirus_GVI.1i,0.933696,0.0663043
Norovirus_GI.1a,Norovirus_GVI.1j,0.933696,0.0663043
Norovirus_GI.1a,Norovirus_GVII.1a,0.915761,0.0842391
Norovirus_GI.1a,Norovirus_GVIII.1a,0.9125,0.0875
Norovirus_GI.1a,Norwalk-like_virus,0.914674,0.0853261
Norovirus_GI.1b,Norovirus_GI.1c,0.969565,0.0304348
Norovirus_GI.1b,Norovirus_GI.1d,0.969565,0.0304348
Norovirus_GI.1b,Norovirus_GI.1e,0.954348,0.0456522
Norovirus_GI.1b,Norovirus_GI.1f,0.971196,0.0288043
Norovirus_GI.1b,Norovirus_GI.1g,0.971196,0.0288043
Norovirus_GI.1b,Norovirus_GI.1h,0.971196,0.0288043
Norovirus_GI.1b,Norovirus_GI.1i,0.971196,0.0288043
Norovirus_GI.1b,Norovirus_GI.1j,0.971196,0.0288043
Norovirus_GI.1b,Norovirus_GII.1a,0.911957,0.0880435
Norovirus_GI.1b,Norovirus_GII.1b,0.9125,0.0875
Norovirus_GI.1b,Norovirus_GII.1c,0.911413,0.088587
Norovirus_GI.1b,Norovirus_GII.1d,0.911957,0.0880435
Norovirus_GI.1b,Norovirus_GII.1e,0.914674,0.0853261
Norovirus_GI.1b,Norovirus_GII.1f,0.913587,0.086413
Norovirus_GI.1b,Norovirus_GII.1g,0.913587,0.086413
Norovirus_GI.1b,Norovirus_GII.1h,0.919022,0.0809783
Norovirus_GI.1b,Norovirus_GII.1i,0.919022,0.0809783
Norovirus_GI.1b,Norovirus_GII.1j,0.919022,0.0809783
Norovirus_GI.1b,Norovirus_GIII.1a,0.910326,0.0896739
Norovirus_GI.1b,Norovirus_GIII.1b,0.910326,0.0896739
Norovirus_GI.1b,Norovirus_GIII.1c,0.909239,0.0907609
Norovirus_GI.1b,Norovirus_GIII.1d,0.910326,0.0896739
Norovirus_GI.1b,Norovirus_GIII.1e,0.910326,0.0896739
Norovirus_GI.1b,Norovirus_GIII.1f,0.910326,0.0896739
Norovirus_GI.1b,Norovirus_GIII.1g,0.910326,0.0896739
Norovirus_GI.1b,Norovirus_GIII.1h,0.910326,0.0896739
Norovirus_GI.1b,Norovirus_GIII.1i,0.910326,0.0896739
Norovirus_GI.1b,Norovirus_GIII.1j,0.910326,0.0896739
Norovirus_GI.1b,Norovirus_GIV.1a,0.938587,0.061413
Norovirus_GI.1b,Norovirus_GIV.1b,0.908152,0.0918478
Norovirus_GI.1b,Norovirus_GIV.1c,0.910326,0.0896739
Norovirus_GI.1b,Norovirus_GIV.1d,0.909783,0.0902174
Norovirus_GI.1b,Norovirus_GIV.1e,0.938587,0.061413
Norovirus_GI.1b,Norovirus_GIV.1f,0.938587,0.061413
Norovirus_GI.1b,Norovirus_GIV.1g,0.938587,0.061413
Norovirus_GI.1b,Norovirus_GIV.1h,0.938587,0.061413
Norovirus_GI.1b,Norovirus_GIV.1i,0.934239,0.0657609
Norovirus_GI.1b,Norovirus_GIV.1j,0.934239,0.0657609
Norovirus_GI.1b,Norovirus_GV.1a,0.904348,0.0956522
Norovirus_GI.1b,Norovirus_GV.1b,0.909239,0.0907609
Norovirus_GI.1b,Norovirus_GV.1c,0.908696,0.0913043
Norovirus_GI.1b,Norovirus_GV.1d,0.904891,0.0951087
Norovirus_GI.1b,Norovirus_GV.1e,0.904348,0.0956522
Norovirus_GI.1b,Norovirus_GV.1f,0.904891,0.0951087
Norovirus_GI.1b,Norovirus_GV.1g,0.904891,0.0951087
Norovirus_GI.1b,Norovirus_GV.1h,0.904348,0.0956522
Norovirus_GI.1b,Norovirus_GV.1i,0.904348,0.0956522
Norovirus_GI.1b,Norovirus_GV.1j,0.904348,0.0956522
Norovirus_GI.1b,Norovirus_GVI.1a,0.938587,0.061413
Norovirus_GI.1b,Norovirus_GVI.1b,0.938587,0.061413
Norovirus_GI.1b,Norovirus_GVI.1c,0.936957,0.0630435
Norovirus_GI.1b,Norovirus_GVI.1d,0.93587,0.0641304
Norovirus_GI.1b,Norovirus_GVI.1e,0.93587,0.0641304
Norovirus_GI.1b,Norovirus_GVI.1f,0.934783,0.0652174
Norovirus_GI.1b,Norovirus_GVI.1g,0.934783,0.0652174
Norovirus_GI.1b,Norovirus_GVI.1h,0.932609,0.0673913
Norovirus_GI.1b,Norovirus_GVI.1i,0.931522,0.0684783
Norovirus_GI.1b,Norovirus_GVI.1j,0.931522,0.0684783
Norovirus_GI.1b,Norovirus_GVII.1a,0.91413,0.0858696
Norovirus_GI.1b,Norovirus_GVIII.1a,0.911413,0.088587
Norovirus_GI.1b,Norwalk-like_virus,0.913587,0.086413
Norovirus_GI.1c,Norovirus_GI.1d,0.977717,0.0222826
Norovirus_GI.1c,Norovirus_GI.1e,0.961413,0.038587
Norovirus_GI.1c,Norovirus_GI.1f,0.970109,0.0298913
Norovirus_GI.1c,Norovirus_GI.1g,0.977717,0.0222826
Norovirus_GI.1c,Norovirus_GI.1h,0.977717,0.0222826
Norovirus_GI.1c,Norovirus_GI.1i,0.977717,0.0222826
Norovirus_GI.1c,Norovirus_GI.1j,0.977717,0.0222826
Norovirus_GI.1c,Norovirus_GII.1a,0.91413,0.0858696
Norovirus_GI.1c,Norovirus_GII.1b,0.915217,0.0847826
Norovirus_GI.1c,Norovirus_GII.1c,0.913043,0.0869565
Norovirus_GI.1c,Norovirus_GII.1d,0.914674,0.0853261
Norovirus_GI.1c,Norovirus_GII.1e,0.917391,0.0826087
Norovirus_GI.1c,Norovirus_GII.1f,0.915761,0.0842391
Norovirus_GI.1c,Norovirus_GII.1g,0.915761,0.0842391
Norovirus_GI.1c,Norovirus_GII.1h,0.922283,0.0777174
Norovirus_GI.1c,Norovirus_GII.1i,0.922283,0.0777174
Norovirus_GI.1c,Norovirus_GII.1j,0.922283,0.0777174
Norovirus_GI.1c,Norovirus_GIII.1a,0.911413,0.088587
Norovirus_GI.1c,Norovirus_GIII.1b,0.911413,0.088587
Norovirus_GI.1c,Norovirus_GIII.1c,0.910326,0.0896739
Norovirus_GI.1c,Norovirus_GIII.1d,0.911413,0.088587
Norovirus_GI.1c,Norovirus_GIII.1e,0.911413,0.088587
Norovirus_GI.1c,Norovirus_GIII.1f,0.911413,0.088587
Norovirus_GI.1c,Norovirus_GIII.1g,0.911413,0.088587
Norovirus_GI.1c,Norovirus_GIII.1h,0.911413,0.088587
Norovirus_GI.1c,Norovirus_GIII.1i,0.911413,0.088587
Norovirus_GI.1c,Norovirus_GIII.1j,0.911413,0.088587
Norovirus_GI.1c,Norovirus_GIV.1a,0.941304,0.0586957
Norovirus_GI.1c,Norovirus_GIV.1b,0.909239,0.0907609
Norovirus_GI.1c,Norovirus_GIV.1c,0.9125,0.0875
Norovirus_GI.1c,Norovirus_GIV.1d,0.910326,0.0896739
Norovirus_GI.1c,Norovirus_GIV.1e,0.941304,0.0586957
Norovirus_GI.1c,Norovirus_GIV.1f,0.941304,0.0586957
Norovirus_GI.1c,Norovirus_GIV.1g,0.941304,0.0586957
Norovirus_GI.1c,Norovirus_GIV.1h,0.941304,0.0586957
Norovirus_GI.1c,Norovirus_GIV.1i,0.936957,0.0630435
Norovirus_GI.1c,Norovirus_GIV.1j,0.936957,0.0630435
Norovirus_GI.1c,Norovirus_GV.1a,0.908152,0.0918478
Norovirus_GI.1c,Norovirus_GV.1b,0.913043,0.0869565
Norovirus_GI.1c,Norovirus_GV.1c,0.9125,0.0875
Norovirus_GI.1c,Norovirus_GV.1d,0.908696,0.0913043
Norovirus_GI.1c,Norovirus_GV.1e,0.908152,0.0918478
Norovirus_GI.1c,Norovirus_GV.1f,0.908696,0.0913043
Norovirus_GI.1c,Norovirus_GV.1g,0.908696,0.0913043
Norovirus_GI.1c,Norovirus_GV.1h,0.908152,0.0918478
Norovirus_GI.1c,Norovirus_GV.1i,0.908152,0.0918478
Norovirus_GI.1c,Norovirus_GV.1j,0.908152,0.0918478
Norovirus_GI.1c,Norovirus_GVI.1a,0.941304,0.0586957
Norovirus_GI.1c,Norovirus_GVI.1b,0.941304,0.0586957
Norovirus_GI.1c,Norovirus_GVI.1c,0.939674,0.0603261
Norovirus_GI.1c,Norovirus_GVI.1d,0.93913,0.0608696
Norovirus_GI.1c,Norovirus_GVI.1e,0.93913,0.0608696
Norovirus_GI.1c,Norovirus_GVI.1f,0.9375,0.0625
Norovirus_GI.1c,Norovirus_GVI.1g,0.9375,0.0625
Norovirus_GI.1c,Norovirus_GVI.1h,0.935326,0.0646739
Norovirus_GI.1c,Norovirus_GVI.1i,0.933696,0.0663043
Norovirus_GI.1c,Norovirus_GVI.1j,0.933696,0.0663043
Norovirus_GI.1c,Norovirus_GVII.1a,0.916304,0.0836957
Norovirus_GI.1c,Norovirus_GVIII.1a,0.913043,0.0869565
Norovirus_GI.1c,Norwalk-like_virus,0.915761,0.0842391
Norovirus_GI.1d,Norovirus_GI.1e,0.961413,0.038587
Norovirus_GI.1d,Norovirus_GI.1f,0.970109,0.0298913
Norovirus_GI.1d,Norovirus_GI.1g,0.977717,0.0222826
Norovirus_GI.1d,Norovirus_GI.1h,0.977717,0.0222826
Norovirus_GI.1d,Norovirus_GI.1i,0.977717,0.0222826
Norovirus_GI.1d,Norovirus_GI.1j,0.977717,0.0222826
Norovirus_GI.1d,Norovirus_GII.1a,0.91413,0.0858696
Norovirus_GI.1d,Norovirus_GII.1b,0.915217,0.0847826
Norovirus_GI.1d,Norovirus_GII.1c,0.913043,0.0869565
Norovirus_GI.1d,Norovirus_GII.1d,0.914674,0.0853261
Norovirus_GI.1d,Norovirus_GII.1e,0.917391,0.0826087
Norovirus_GI.1d,Norovirus_GII.1f,0.915761,0.0842391
Norovirus_GI.1d,Norovirus_GII.1g,0.915761,0.0842391
Norovirus_GI.1d,Norovirus_GII.1h,0.922283,0.0777174
Norovirus_GI.1d,Norovirus_GII.1i,0.922283,0.0777174
Norovirus_GI.1d,Norovirus_GII.1j,0.922283,0.0777174
Norovirus_GI.1d,Norovirus_GIII.1a,0.911413,0.088587
Norovirus_GI.1d,Norovirus_GIII.1b,0.911413,0.088587
Norovirus_GI.1d,Norovirus_GIII.1c,0.910326,0.0896739
Norovirus_GI.1d,Norovirus_GIII.1d,0.911413,0.088587
Norovirus_GI.1d,Norovirus_GIII.1e,0.911413,0.088587
Norovirus_GI.1d,Norovirus_GIII.1f,0.911413,0.088587
Norovirus_GI.1d,Norovirus_GIII.1g,0.911413,0.088587
Norovirus_GI.1d,Norovirus_GIII.1h,0.911413,0.088587
Norovirus_GI.1d,Norovirus_GIII.1i,0.911413,0.088587
Norovirus_GI.1d,Norovirus_GIII.1j,0.911413,0.088587
Norovirus_GI.1d,Norovirus_GIV.1a,0.941304,0.0586957
Norovirus_GI.1d,Norovirus_GIV.1b,0.909239,0.0907609
Norovirus_GI.1d,Norovirus_GIV.1c,0.9125,0.0875
Norovirus_GI.1d,Norovirus_GIV.1d,0.910326,0.0896739
Norovirus_GI.1d,Norovirus_GIV.1e,0.941304,0.0586957
Norovirus_GI.1d,Norovirus_GIV.1f,0.941304,0.0586957
Norovirus_GI.1d,Norovirus_GIV.1g,0.941304,0.0586957
Norovirus_GI.1d,Norovirus_GIV.1h,0.941304,0.0586957
Norovirus_GI.1d,Norovirus_GIV.1i,0.936957,0.0630435
Norovirus_GI.1d,Norovirus_GIV.1j,0.936957,0.0630435
Norovirus_GI.1d,Norovirus_GV.1a,0.908152,0.0918478
Norovirus_GI.1d,Norovirus_GV.1b,0.913043,0.0869565
Norovirus_GI.1d,Norovirus_GV.1c,0.9125,0.0875
Norovirus_GI.1d,Norovirus_GV.1d,0.908696,0.0913043
Norovirus_GI.1d,Norovirus_GV.1e,0.908152,0.0918478
Norovirus_GI.1d,Norovirus_GV.1f,0.908696,0.0913043
Norovirus_GI.1d,Norovirus_GV.1g,0.908696,0.0913043
Norovirus_GI.1d,Norovirus_GV.1h,0.908152,0.0918478
Norovirus_GI.1d,Norovirus_GV.1i,0.908152,0.0918478
Norovirus_GI.1d,Norovirus_GV.1j,0.908152,0.0918478
Norovirus_GI.1d,Norovirus_GVI.1a,0.941304,0.0586957
Norovirus_GI.1d,Norovirus_GVI.1b,0.941304,0.0586957
Norovirus_GI.1d,Norovirus_GVI.1c,0.939674,0.0603261
Norovirus_GI.1d,Norovirus_GVI.1d,0.93913,0.0608696
Norovirus_GI.1d,Norovirus_GVI.1e,0.93913,0.0608696
Norovirus_GI.1d,Norovirus_GVI.1f,0.9375,0.0625
Norovirus_GI.1d,Norovirus_GVI.1g,0.9375,0.0625
Norovirus_GI.1d,Norovirus_GVI.1h,0.935326,0.0646739
Norovirus_GI.1d,Norovirus_GVI.1i,0.933696,0.0663043
Norovirus_GI.1d,Norovirus_GVI.1j,0.933696,0.0663043
Norovirus_GI.1d,Norovirus_GVII.1a,0.916304,0.0836957
Norovirus_GI.1d,Norovirus_GVIII.1a,0.913043,0.0869565
Norovirus_GI.1d,Norwalk-like_virus,0.915761,0.0842391
Norovirus_GI.1e,Norovirus_GI.1f,0.954891,0.0451087
Norovirus_GI.1e,Norovirus_GI.1g,0.961413,0.038587
Norovirus_GI.1e,Norovirus_GI.1h,0.961413,0.038587
Norovirus_GI.1e,Norovirus_GI.1i,0.961413,0.038587
Norovirus_GI.1e,Norovirus_GI.1j,0.961413,0.038587
Norovirus_GI.1e,Norovirus_GII.1a,0.900543,0.0994565
Norovirus_GI.1e,Norovirus_GII.1b,0.90163,0.0983696
Norovirus_GI.1e,Norovirus_GII.1c,0.902174,0.0978261
Norovirus_GI.1e,Norovirus_GII.1d,0.901087,0.098913
Norovirus_GI.1e,Norovirus_GII.1e,0.905978,0.0940217
Norovirus_GI.1e,Norovirus_GII.1f,0.904891,0.0951087
Norovirus_GI.1e,Norovirus_GII.1g,0.904891,0.0951087
Norovirus_GI.1e,Norovirus_GII.1h,0.908696,0.0913043
Norovirus_GI.1e,Norovirus_GII.1i,0.908696,0.0913043
Norovirus_GI.1e,Norovirus_GII.1j,0.908696,0.0913043
Norovirus_GI.1e,Norovirus_GIII.1a,0.907065,0.0929348
Norovirus_GI.1e,Norovirus_GIII.1b,0.907065,0.0929348
Norovirus_GI.1e,Norovirus_GIII.1c,0.905978,0.0940217
Norovirus_GI.1e,Norovirus_GIII.1d,0.907065,0.0929348
Norovirus_GI.1e,Norovirus_GIII.1e,0.907065,0.0929348
Norovirus_GI.1e,Norovirus_GIII.1f,0.907065,0.0929348
Norovirus_GI.1e,Norovirus_GIII.1g,0.907065,0.0929348
Norovirus_GI.1e,Norovirus_GIII.1h,0.907065,0.0929348
Norovirus_GI.1e,Norovirus_GIII.1i,0.907065,0.0929348
Norovirus_GI.1e,Norovirus_GIII.1j,0.907065,0.0929348
Norovirus_GI.1e,Norovirus_GIV.1a,0.926087,0.073913
Norovirus_GI.1e,Norovirus_GIV.1b,0.897283,0.102717
Norovirus_GI.1e,Norovirus_GIV.1c,0.9,0.1
Norovirus_GI.1e,Norovirus_GIV.1d,0.89837,0.10163
Norovirus_GI.1e,Norovirus_GIV.1e,0.926087,0.073913
Norovirus_GI.1e,Norovirus_GIV.1f,0.926087,0.073913
Norovirus_GI.1e,Norovirus_GIV.1g,0.926087,0.073913
Norovirus_GI.1e,Norovirus_GIV.1h,0.926087,0.073913
Norovirus_GI.1e,Norovirus_GIV.1i,0.926087,0.073913
Norovirus_GI.1e,Norovirus_GIV.1j,0.926087,0.073913
Norovirus_GI.1e,Norovirus_GV.1a,0.897283,0.102717
Norovirus_GI.1e,Norovirus_GV.1b,0.900543,0.0994565
Norovirus_GI.1e,Norovirus_GV.1c,0.9,0.1
Norovirus_GI.1e,Norovirus_GV.1d,0.897826,0.102174
Norovirus_GI.1e,Norovirus_GV.1e,0.897283,0.102717
Norovirus_GI.1e,Norovirus_GV.1f,0.897826,0.102174
Norovirus_GI.1e,Norovirus_GV.1g,0.897826,0.102174
Norovirus_GI.1e,Norovirus_GV.1h,0.897283,0.102717
Norovirus_GI.1e,Norovirus_GV.1i,0.897283,0.102717
Norovirus_GI.1e,Norovirus_GV.1j,0.897283,0.102717
Norovirus_GI.1e,Norovirus_GVI.1a,0.926087,0.073913
Norovirus_GI.1e,Norovirus_GVI.1b,0.926087,0.073913
Norovirus_GI.1e,Norovirus_GVI.1c,0.925,0.075
Norovirus_GI.1e,Norovirus_GVI.1d,0.928261,0.0717391
Norovirus_GI.1e,Norovirus_GVI.1e,0.928261,0.0717391
Norovirus_GI.1e,Norovirus_GVI.1f,0.926087,0.073913
Norovirus_GI.1e,Norovirus_GVI.1g,0.924457,0.0755435
Norovirus_GI.1e,Norovirus_GVI.1h,0.925,0.075
Norovirus_GI.1e,Norovirus_GVI.1i,0.922826,0.0771739
Norovirus_GI.1e,Norovirus_GVI.1j,0.922826,0.0771739
Norovirus_GI.1e,Norovirus_GVII.1a,0.903804,0.0961957
Norovirus_GI.1e,Norovirus_GVIII.1a,0.902174,0.0978261
Norovirus_GI.1e,Norwalk-like_virus,0.904891,0.0951087
Norovirus_GI.1f,Norovirus_GI.1g,0.971739,0.0282609
Norovirus_GI.1f,Norovirus_GI.1h,0.971739,0.0282609
Norovirus_GI.1f,Norovirus_GI.1i,0.971739,0.0282609
Norovirus_GI.1f,Norovirus_GI.1j,0.971739,0.0282609
Norovirus_GI.1f,Norovirus_GII.1a,0.913043,0.0869565
Norovirus_GI.1f,Norovirus_GII.1b,0.913587,0.086413
Norovirus_GI.1f,Norovirus_GII.1c,0.9125,0.0875
Norovirus_GI.1f,Norovirus_GII.1d,0.913043,0.0869565
Norovirus_GI.1f,Norovirus_GII.1e,0.915761,0.0842391
Norovirus_GI.1f,Norovirus_GII.1f,0.914674,0.0853261
Norovirus_GI.1f,Norovirus_GII.1g,0.914674,0.0853261
Norovirus_GI.1f,Norovirus_GII.1h,0.920109,0.0798913
Norovirus_GI.1f,Norovirus_GII.1i,0.920109,0.0798913
Norovirus_GI.1f,Norovirus_GII.1j,0.920109,0.0798913
Norovirus_GI.1f,Norovirus_GIII.1a,0.910326,0.0896739
Norovirus_GI.1f,Norovirus_GIII.1b,0.910326,0.0896739
Norovirus_GI.1f,Norovirus_GIII.1c,0.909239,0.0907609
Norovirus_GI.1f,Norovirus_GIII.1d,0.910326,0.0896739
Norovirus_GI.1f,Norovirus_GIII.1e,0.910326,0.0896739
Norovirus_GI.1f,Norovirus_GIII.1f,0.910326,0.0896739
Norovirus_GI.1f,Norovirus_GIII.1g,0.910326,0.0896739
Norovirus_GI.1f,Norovirus_GIII.1h,0.910326,0.0896739
Norovirus_GI.1f,Norovirus_GIII.1i,0.910326,0.0896739
Norovirus_GI.1f,Norovirus_GIII.1j,0.910326,0.0896739
Norovirus_GI.1f,Norovirus_GIV.1a,0.93913,0.0608696
Norovirus_GI.1f,Norovirus_GIV.1b,0.908696,0.0913043
Norovirus_GI.1f,Norovirus_GIV.1c,0.911413,0.088587
Norovirus_GI.1f,Norovirus_GIV.1d,0.910326,0.0896739
Norovirus_GI.1f,Norovirus_GIV.1e,0.93913,0.0608696
Norovirus_GI.1f,Norovirus_GIV.1f,0.93913,0.0608696
Norovirus_GI.1f,Norovirus_GIV.1g,0.93913,0.0608696
Norovirus_GI.1f,Norovirus_GIV.1h,0.93913,0.0608696
Norovirus_GI.1f,Norovirus_GIV.1i,0.934783,0.0652174
Norovirus_GI.1f,Norovirus_GIV.1j,0.934783,0.0652174
Norovirus_GI.1f,Norovirus_GV.1a,0.904348,0.0956522
Norovirus_GI.1f,Norovirus_GV.1b,0.909239,0.0907609
Norovirus_GI.1f,Norovirus_GV.1c,0.908696,0.0913043
Norovirus_GI.1f,Norovirus_GV.1d,0.904891,0.0951087
Norovirus_GI.1f,Norovirus_GV.1e,0.904348,0.0956522
Norovirus_GI.1f,Norovirus_GV.1f,0.904891,0.0951087
Norovirus_GI.1f,Norovirus_GV.1g,0.904891,0.0951087
Norovirus_GI.1f,Norovirus_GV.1h,0.904348,0.0956522
Norovirus_GI.1f,Norovirus_GV.1i,0.904348,0.0956522
Norovirus_GI.1f,Norovirus_GV.1j,0.904348,0.0956522
Norovirus_GI.1f,Norovirus_GVI.1a,0.93913,0.0608696
Norovirus_GI.1f,Norovirus_GVI.1b,0.93913,0.0608696
Norovirus_GI.1f,Norovirus_GVI.1c,0.9375,0.0625
Norovirus_GI.1f,Norovirus_GVI.1d,0.936413,0.063587
Norovirus_GI.1f,Norovirus_GVI.1e,0.936413,0.063587
Norovirus_GI.1f,Norovirus_GVI.1f,0.935326,0.0646739
Norovirus_GI.1f,Norovirus_GVI.1g,0.935326,0.0646739
Norovirus_GI.1f,Norovirus_GVI.1h,0.933152,0.0668478
Norovirus_GI.1f,Norovirus_GVI.1i,0.932065,0.0679348
Norovirus_GI.1f,Norovirus_GVI.1j,0.932065,0.0679348
Norovirus_GI.1f,Norovirus_GVII.1a,0.915217,0.0847826
Norovirus_GI.1f,Norovirus_GVIII.1a,0.9125,0.0875
Norovirus_GI.1f,Norwalk-like_virus,0.914674,0.0853261
Norovirus_GI.1g,Norovirus_GI.1h,0.979348,0.0206522
Norovirus_GI.1g,Norovirus_GI.1i,0.979348,0.0206522
Norovirus_GI.1g,Norovirus_GI.1j,0.979348,0.0206522
Norovirus_GI.1g,Norovirus_GII.1a,0.915217,0.0847826
Norovirus_GI.1g,Norovirus_GII.1b,0.916304,0.0836957
Norovirus_GI.1g,Norovirus_GII.1c,0.91413,0.0858696
Norovirus_GI.1g,Norovirus_GII.1d,0.915761,0.0842391
Norovirus_GI.1g,Norovirus_GII.1e,0.918478,0.0815217
Norovirus_GI.1g,Norovirus_GII.1f,0.916848,0.0831522
Norovirus_GI.1g,Norovirus_GII.1g,0.916848,0.0831522
Norovirus_GI.1g,Norovirus_GII.1h,0.92337,0.0766304
Norovirus_GI.1g,Norovirus_GII.1i,0.92337,0.0766304
Norovirus_GI.1g,Norovirus_GII.1j,0.92337,0.0766304
Norovirus_GI.1g,Norovirus_GIII.1a,0.911413,0.088587
Norovirus_GI.1g,Norovirus_GIII.1b,0.911413,0.088587
Norovirus_GI.1g,Norovirus_GIII.1c,0.910326,0.0896739
Norovirus_GI.1g,Norovirus_GIII.1d,0.911413,0.088587
Norovirus_GI.1g,Norovirus_GIII.1e,0.911413,0.088587
Norovirus_GI.1g,Norovirus_GIII.1f,0.911413,0.088587
Norovirus_GI.1g,Norovirus_GIII.1g,0.911413,0.088587
Norovirus_GI.1g,Norovirus_GIII.1h,0.911413,0.088587
Norovirus_GI.1g,Norovirus_GIII.1i,0.911413,0.088587
Norovirus_GI.1g,Norovirus_GIII.1j,0.911413,0.088587
Norovirus_GI.1g,Norovirus_GIV.1a,0.942391,0.0576087
Norovirus_GI.1g,Norovirus_GIV.1b,0.910326,0.0896739
Norovirus_GI.1g,Norovirus_GIV.1c,0.913587,0.086413
Norovirus_GI.1g,Norovirus_GIV.1d,0.911413,0.088587
Norovirus_GI.1g,Norovirus_GIV.1e,0.942391,0.0576087
Norovirus_GI.1g,Norovirus_GIV.1f,0.942391,0.0576087
Norovirus_GI.1g,Norovirus_GIV.1g,0.942391,0.0576087
Norovirus_GI.1g,Norovirus_GIV.1h,0.942391,0.0576087
Norovirus_GI.1g,Norovirus_GIV.1i,0.938043,0.0619565
Norovirus_GI.1g,Norovirus_GIV.1j,0.938043,0.0619565
Norovirus_GI.1g,Norovirus_GV.1a,0.908152,0.0918478
Norovirus_GI.1g,Norovirus_GV.1b,0.913043,0.0869565
Norovirus_GI.1g,Norovirus_GV.1c,0.9125,0.0875
Norovirus_GI.1g,Norovirus_GV.1d,0.908696,0.0913043
Norovirus_GI.1g,Norovirus_GV.1e,0.908152,0.0918478
