Program, Homo
Version, 2.0
Input file,../../work/4_mask/Mask.fst
Characters,Recoded amino acids (AGPST|DENQ|HKR|MIVL|WFY|C) [D6]
Sequences,63

Taxon 1,Taxon 2,Bowker,df,p,defs,dems,dcfs,Sites
Norovirus_GI.1a,Norovirus_GVI.1i,11.0167,14,0.684727,0.00893385,0.0155007,0.887076,1551
Norovirus_GI.1a,Norovirus_GVI.1j,11.0167,14,0.684727,0.00893385,0.0155007,0.887076,1551
Norovirus_GI.1a,Norovirus_GVII.1a,17.1247,15,0.311467,0.0170879,0.0158543,1.06848,1545
Norovirus_GI.1a,Norovirus_GVIII.1a,12.9458,14,0.530792,0.0114067,0.00682334,0.961615,1551
Norovirus_GI.1a,Norwalk-like_virus,20.903,15,0.139956,0.0158586,0.00994665,1.18048,1551
Norovirus_GI.1b,Norovirus_GI.1c,8.93939,12,0.708098,0.00375948,0.00539433,0.863105,1551
Norovirus_GI.1b,Norovirus_GI.1d,8.8458,13,0.784487,0.00364723,0.00446693,0.824892,1551
Norovirus_GI.1b,Norovirus_GI.1e,8.24424,12,0.765764,0.00392183,0.00491023,0.828867,1551
Norovirus_GI.1b,Norovirus_GI.1f,12.7302,13,0.468864,0.00422788,0.00794895,0.989567,1551
Norovirus_GI.1b,Norovirus_GI.1g,5.49991,12,0.939168,0.00328757,0.00364723,0.676998,1551
Norovirus_GI.1b,Norovirus_GI.1h,5.46218,12,0.940737,0.00341167,0.00397448,0.674672,1551
Norovirus_GI.1b,Norovirus_GI.1i,5.34787,12,0.94534,0.00288339,0.00288339,0.667575,1551
Norovirus_GI.1b,Norovirus_GI.1j,5.56264,12,0.936507,0.00315859,0.00315859,0.680847,1551
Norovirus_GI.1b,Norovirus_GII.1a,12.9546,14,0.530101,0.0109417,0.00618418,0.96194,1551
Norovirus_GI.1b,Norovirus_GII.1b,9.78463,15,0.833064,0.0113482,0.00866133,0.807656,1549
Norovirus_GI.1b,Norovirus_GII.1c,8.67831,14,0.851089,0.006884,0.00800108,0.787324,1551
Norovirus_GI.1b,Norovirus_GII.1d,16.9861,15,0.319697,0.0137858,0.0101666,1.06415,1549
Norovirus_GI.1b,Norovirus_GII.1e,9.43928,15,0.853452,0.00615048,0.00597912,0.793275,1551
Norovirus_GI.1b,Norovirus_GII.1f,9.97488,14,0.764018,0.00823156,0.00947578,0.844092,1551
Norovirus_GI.1b,Norovirus_GII.1g,11.1035,14,0.677884,0.00891056,0.00898026,0.890567,1551
Norovirus_GI.1b,Norovirus_GII.1h,8.83651,14,0.841379,0.0081809,0.00625104,0.794468,1551
Norovirus_GI.1b,Norovirus_GII.1i,9.00554,14,0.830696,0.00697399,0.00618418,0.80203,1551
Norovirus_GI.1b,Norovirus_GII.1j,11.0723,14,0.680346,0.00815545,0.00507673,0.889314,1551
Norovirus_GI.1b,Norovirus_GIII.1a,19.9548,13,0.096342,0.0166389,0.0215001,1.23895,1551
Norovirus_GI.1b,Norovirus_GIII.1b,19.9548,13,0.096342,0.0166389,0.0215001,1.23895,1551
Norovirus_GI.1b,Norovirus_GIII.1c,24.9796,15,0.0502184,0.018965,0.0236849,1.29047,1549
Norovirus_GI.1b,Norovirus_GIII.1d,19.753,13,0.101543,0.0165889,0.0206117,1.23266,1551
Norovirus_GI.1b,Norovirus_GIII.1e,19.0803,13,0.120636,0.0165135,0.0228316,1.21149,1551
Norovirus_GI.1b,Norovirus_GIII.1f,18.368,13,0.144041,0.0158586,0.0206922,1.18866,1551
Norovirus_GI.1b,Norovirus_GIII.1g,19.2952,13,0.114232,0.0162086,0.0206922,1.2183,1551
Norovirus_GI.1b,Norovirus_GIII.1h,21.4704,13,0.0641313,0.0174081,0.0235839,1.28513,1551
Norovirus_GI.1b,Norovirus_GIII.1i,21.7393,14,0.084132,0.0171556,0.0230491,1.24612,1551
Norovirus_GI.1b,Norovirus_GIII.1j,18.368,13,0.144041,0.0158586,0.0206922,1.18866,1551
Norovirus_GI.1b,Norovirus_GIV.1a,13.0904,14,0.519415,0.0115155,0.0160022,0.96697,1551
Norovirus_GI.1b,Norovirus_GIV.1b,13.6448,13,0.399326,0.0154039,0.00972491,1.0245,1539
Norovirus_GI.1b,Norovirus_GIV.1c,20.4343,15,0.155898,0.0176894,0.0134703,1.16717,1543
Norovirus_GI.1b,Norovirus_GIV.1d,11.5158,15,0.715246,0.0129545,0.0100177,0.876197,1540
Norovirus_GI.1b,Norovirus_GIV.1e,13.0904,14,0.519415,0.0115155,0.0160022,0.96697,1551
Norovirus_GI.1b,Norovirus_GIV.1f,9.58122,14,0.792116,0.010456,0.0149269,0.827268,1551
Norovirus_GI.1b,Norovirus_GIV.1g,11.7085,15,0.700942,0.0107113,0.0146458,0.883499,1551
Norovirus_GI.1b,Norovirus_GIV.1h,13.0904,14,0.519415,0.0115155,0.0160022,0.96697,1551
Norovirus_GI.1b,Norovirus_GIV.1i,15.1549,13,0.297784,0.0116233,0.0143011,1.0797,1551
Norovirus_GI.1b,Norovirus_GIV.1j,14.7968,13,0.320206,0.0111859,0.0147025,1.06687,1551
Norovirus_GI.1b,Norovirus_GV.1a,13.9235,15,0.531337,0.015793,0.00638265,0.963449,1551
Norovirus_GI.1b,Norovirus_GV.1b,7.68663,15,0.935731,0.00935531,0.00677088,0.715851,1549
Norovirus_GI.1b,Norovirus_GV.1c,7.20113,15,0.951826,0.009015,0.00695309,0.692875,1549
Norovirus_GI.1b,Norovirus_GV.1d,11.1774,15,0.739924,0.0142866,0.006884,0.863225,1551
Norovirus_GI.1b,Norovirus_GV.1e,11.7531,15,0.69761,0.0149548,0.00491023,0.88518,1551
Norovirus_GI.1b,Norovirus_GV.1f,12.1084,15,0.670803,0.014913,0.00554631,0.89846,1551
Norovirus_GI.1b,Norovirus_GV.1g,13.2199,15,0.585321,0.0159501,0.00554631,0.938788,1551
Norovirus_GI.1b,Norovirus_GV.1h,13.9235,15,0.531337,0.015793,0.00638265,0.963449,1551
Norovirus_GI.1b,Norovirus_GV.1i,12.6255,15,0.631196,0.015447,0.00531671,0.917443,1551
Norovirus_GI.1b,Norovirus_GV.1j,12.6255,15,0.631196,0.015447,0.00531671,0.917443,1551
Norovirus_GI.1b,Norovirus_GVI.1a,11.7844,14,0.623609,0.0109227,0.0157666,0.917467,1551
Norovirus_GI.1b,Norovirus_GVI.1b,14.4062,13,0.345869,0.0109036,0.0142429,1.0527,1551
Norovirus_GI.1b,Norovirus_GVI.1c,9.13002,13,0.763054,0.00979928,0.0145032,0.838039,1551
Norovirus_GI.1b,Norovirus_GVI.1d,12.6862,13,0.472331,0.00988376,0.0147589,0.987858,1551
Norovirus_GI.1b,Norovirus_GVI.1e,12.6862,13,0.472331,0.00988376,0.0147589,0.987858,1551
Norovirus_GI.1b,Norovirus_GVI.1f,11.7844,14,0.623609,0.0109227,0.0157666,0.917467,1551
Norovirus_GI.1b,Norovirus_GVI.1g,13.6746,14,0.474224,0.00984796,0.0183389,0.988311,1550
Norovirus_GI.1b,Norovirus_GVI.1h,9.09888,13,0.765435,0.00973544,0.0147025,0.836609,1551
Norovirus_GI.1b,Norovirus_GVI.1i,14.4643,13,0.341978,0.0109227,0.0129271,1.05482,1551
Norovirus_GI.1b,Norovirus_GVI.1j,14.4643,13,0.341978,0.0109227,0.0129271,1.05482,1551
Norovirus_GI.1b,Norovirus_GVII.1a,18.276,15,0.248435,0.0157483,0.0159071,1.10381,1545
Norovirus_GI.1b,Norovirus_GVIII.1a,8.51359,14,0.860893,0.0066693,0.00751896,0.779816,1551
Norovirus_GI.1b,Norwalk-like_virus,13.9007,15,0.53307,0.0113885,0.00960649,0.962661,1551
Norovirus_GI.1c,Norovirus_GI.1d,3.6,5,0.608313,0.00249548,0.00340947,0.848528,1552
Norovirus_GI.1c,Norovirus_GI.1e,10.549,8,0.228584,0.00507346,0.0081502,1.14832,1552
Norovirus_GI.1c,Norovirus_GI.1f,10.2661,12,0.592627,0.00562076,0.0103962,0.924938,1551
Norovirus_GI.1c,Norovirus_GI.1g,7,8,0.536633,0.00193299,0.00257732,0.935414,1552
Norovirus_GI.1c,Norovirus_GI.1h,6,7,0.539749,0.00182244,0.00241086,0.92582,1552
Norovirus_GI.1c,Norovirus_GI.1i,7.22222,8,0.512858,0.00232316,0.004274,0.950146,1552
Norovirus_GI.1c,Norovirus_GI.1j,4.39216,7,0.733661,0.00157828,0.00273366,0.792118,1552
Norovirus_GI.1c,Norovirus_GII.1a,16.2999,14,0.295403,0.0155041,0.0091122,1.07902,1552
Norovirus_GI.1c,Norovirus_GII.1b,21.8445,14,0.0818674,0.0199896,0.0124768,1.24913,1550
Norovirus_GI.1c,Norovirus_GII.1c,11.7522,14,0.626192,0.0124441,0.0105874,0.916213,1552
Norovirus_GI.1c,Norovirus_GII.1d,26.4013,14,0.0230059,0.0213489,0.0142813,1.37325,1550
Norovirus_GI.1c,Norovirus_GII.1e,16.1106,15,0.374738,0.0136227,0.00794383,1.03636,1552
Norovirus_GI.1c,Norovirus_GII.1f,13.6691,14,0.474646,0.0144508,0.0115621,0.98811,1552
Norovirus_GI.1c,Norovirus_GII.1g,15.5579,14,0.341113,0.0160954,0.0113446,1.05417,1552
Norovirus_GI.1c,Norovirus_GII.1h,12.3382,14,0.579166,0.0131891,0.0065709,0.938774,1552
Norovirus_GI.1c,Norovirus_GII.1i,12.0643,14,0.601137,0.0135309,0.0045561,0.928298,1552
Norovirus_GI.1c,Norovirus_GII.1j,12.2113,14,0.58934,0.0114357,0.0065709,0.933935,1552
Norovirus_GI.1c,Norovirus_GIII.1a,14.4487,14,0.416843,0.0132205,0.0224316,1.0159,1552
Norovirus_GI.1c,Norovirus_GIII.1b,14.4487,14,0.416843,0.0132205,0.0224316,1.0159,1552
Norovirus_GI.1c,Norovirus_GIII.1c,17.7989,14,0.216094,0.0158032,0.0259833,1.12754,1550
Norovirus_GI.1c,Norovirus_GIII.1d,12.5794,14,0.559878,0.0120887,0.022283,0.947907,1552
Norovirus_GI.1c,Norovirus_GIII.1e,13.6619,14,0.475188,0.0129829,0.0243485,0.987853,1552
Norovirus_GI.1c,Norovirus_GIII.1f,13.3131,14,0.502035,0.0125272,0.0224316,0.975158,1552
Norovirus_GI.1c,Norovirus_GIII.1g,13.2129,14,0.509835,0.0125272,0.0224316,0.971482,1552
Norovirus_GI.1c,Norovirus_GIII.1h,15.7378,14,0.329645,0.0139836,0.0251866,1.06025,1552
Norovirus_GI.1c,Norovirus_GIII.1i,16.1439,15,0.372552,0.0137893,0.0246367,1.03743,1552
Norovirus_GI.1c,Norovirus_GIII.1j,13.3131,14,0.502035,0.0125272,0.0224316,0.975158,1552
Norovirus_GI.1c,Norovirus_GIV.1a,13.5598,14,0.482993,0.0150971,0.0164273,0.984153,1552
Norovirus_GI.1c,Norovirus_GIV.1b,12.3567,13,0.498632,0.0169205,0.00811039,0.974945,1540
Norovirus_GI.1c,Norovirus_GIV.1c,26.045,15,0.0375527,0.0200045,0.0130502,1.3177,1544
Norovirus_GI.1c,Norovirus_GIV.1d,15.57,13,0.273134,0.0186955,0.00789457,1.09439,1541
Norovirus_GI.1c,Norovirus_GIV.1e,13.5598,14,0.482993,0.0150971,0.0164273,0.984153,1552
Norovirus_GI.1c,Norovirus_GIV.1f,13.5138,14,0.486524,0.0151657,0.0164273,0.982482,1552
Norovirus_GI.1c,Norovirus_GIV.1g,13.9582,14,0.452829,0.0149173,0.0151109,0.998507,1552
Norovirus_GI.1c,Norovirus_GIV.1h,13.5598,14,0.482993,0.0150971,0.0164273,0.984153,1552
Norovirus_GI.1c,Norovirus_GIV.1i,14.5677,14,0.408329,0.0136074,0.0153562,1.02007,1552
Norovirus_GI.1c,Norovirus_GIV.1j,14.6941,14,0.399378,0.0137742,0.0154101,1.02449,1552
Norovirus_GI.1c,Norovirus_GV.1a,12.9435,14,0.530979,0.0141018,0.00946968,0.961527,1552
Norovirus_GI.1c,Norovirus_GV.1b,7.80319,13,0.856181,0.0118436,0.0043757,0.774755,1550
Norovirus_GI.1c,Norovirus_GV.1c,8.72509,13,0.793375,0.0129032,0.00676651,0.819244,1550
Norovirus_GI.1c,Norovirus_GV.1d,11.3792,14,0.656025,0.0140871,0.0108966,0.901554,1552
Norovirus_GI.1c,Norovirus_GV.1e,10.7024,14,0.709243,0.0136074,0.00705828,0.874331,1552
Norovirus_GI.1c,Norovirus_GV.1f,10.6996,14,0.709459,0.0128543,0.00845031,0.874217,1552
Norovirus_GI.1c,Norovirus_GV.1g,11.5433,14,0.642928,0.0137742,0.00845031,0.908031,1552
Norovirus_GI.1c,Norovirus_GV.1h,12.9435,14,0.530979,0.0141018,0.00946968,0.961527,1552
Norovirus_GI.1c,Norovirus_GV.1i,11.8577,14,0.617731,0.0140724,0.00835147,0.920314,1552
Norovirus_GI.1c,Norovirus_GV.1j,11.8577,14,0.617731,0.0140724,0.00835147,0.920314,1552
Norovirus_GI.1c,Norovirus_GVI.1a,15.9473,14,0.316602,0.0153967,0.0174565,1.06728,1552
Norovirus_GI.1c,Norovirus_GVI.1b,12.7389,14,0.547179,0.0129027,0.0140281,0.953898,1552
Norovirus_GI.1c,Norovirus_GVI.1c,12.1194,14,0.596719,0.0133921,0.0176927,0.930413,1552
Norovirus_GI.1c,Norovirus_GVI.1d,14.236,14,0.432283,0.0150558,0.0143209,1.00839,1552
Norovirus_GI.1c,Norovirus_GVI.1e,14.236,14,0.432283,0.0150558,0.0143209,1.00839,1552
Norovirus_GI.1c,Norovirus_GVI.1f,15.9473,14,0.316602,0.0153967,0.0174565,1.06728,1552
Norovirus_GI.1c,Norovirus_GVI.1g,15.0295,14,0.376138,0.0147307,0.018395,1.03612,1551
Norovirus_GI.1c,Norovirus_GVI.1h,12.0028,14,0.60608,0.0132205,0.0180872,0.925927,1552
Norovirus_GI.1c,Norovirus_GVI.1i,13.3295,14,0.500755,0.0121401,0.0140871,0.975761,1552
Norovirus_GI.1c,Norovirus_GVI.1j,13.3295,14,0.500755,0.0121401,0.0140871,0.975761,1552
Norovirus_GI.1c,Norovirus_GVII.1a,20.8523,15,0.141614,0.0176432,0.0132245,1.17905,1546
Norovirus_GI.1c,Norovirus_GVIII.1a,11.3277,14,0.660125,0.0120887,0.00994024,0.89951,1552
Norovirus_GI.1c,Norwalk-like_virus,19.4431,15,0.194352,0.0171808,0.0132048,1.13851,1552
Norovirus_GI.1d,Norovirus_GI.1e,13,7,0.0721084,0.00391931,0.00611265,1.36277,1552
Norovirus_GI.1d,Norovirus_GI.1f,9.2349,12,0.682747,0.00486772,0.0109796,0.877254,1551
Norovirus_GI.1d,Norovirus_GI.1g,7.69231,8,0.464089,0.00288153,0.00302218,0.980581,1552
Norovirus_GI.1d,Norovirus_GI.1h,8.69231,8,0.368914,0.00295269,0.00375706,1.04237,1552
Norovirus_GI.1d,Norovirus_GI.1i,9.06667,9,0.431143,0.00241086,0.00446405,1.0037,1552
Norovirus_GI.1d,Norovirus_GI.1j,6.66667,8,0.572986,0.00232316,0.00288153,0.912871,1552
Norovirus_GI.1d,Norovirus_GII.1a,11.2643,13,0.588691,0.0134076,0.00783861,0.93085,1552
Norovirus_GI.1d,Norovirus_GII.1b,21.3837,14,0.0921962,0.0192037,0.0112857,1.23588,1550
Norovirus_GI.1d,Norovirus_GII.1c,10.4556,13,0.656321,0.0125106,0.00773196,0.896815,1552
Norovirus_GI.1d,Norovirus_GII.1d,19.8943,13,0.0978775,0.0184971,0.0131588,1.23707,1550
Norovirus_GI.1d,Norovirus_GII.1e,13.9323,14,0.454765,0.0124607,0.00490707,0.99758,1552
Norovirus_GI.1d,Norovirus_GII.1f,9.45729,13,0.737596,0.0119157,0.0091122,0.852927,1552
Norovirus_GI.1d,Norovirus_GII.1g,10.8177,13,0.62609,0.0136227,0.00915765,0.91221,1552
Norovirus_GI.1d,Norovirus_GII.1h,9.67817,13,0.720016,0.0121059,0.00473484,0.86283,1552
Norovirus_GI.1d,Norovirus_GII.1i,9.73437,13,0.715498,0.0125438,0.00386598,0.865331,1552
Norovirus_GI.1d,Norovirus_GII.1j,9.9881,13,0.694908,0.0100854,0.00437006,0.876536,1552
Norovirus_GI.1d,Norovirus_GIII.1a,15.4008,14,0.35132,0.0136986,0.0232138,1.04883,1552
Norovirus_GI.1d,Norovirus_GIII.1b,15.4008,14,0.35132,0.0136986,0.0232138,1.04883,1552
Norovirus_GI.1d,Norovirus_GIII.1c,16.4337,14,0.287612,0.016129,0.0262859,1.08344,1550
Norovirus_GI.1d,Norovirus_GIII.1d,13.2581,14,0.506312,0.0123772,0.0226892,0.973141,1552
Norovirus_GI.1d,Norovirus_GIII.1e,14.9419,14,0.38214,0.0135002,0.024988,1.03309,1552
Norovirus_GI.1d,Norovirus_GIII.1f,13.8781,14,0.45883,0.0127408,0.0228714,0.995638,1552
Norovirus_GI.1d,Norovirus_GIII.1g,13.6181,14,0.478536,0.0126098,0.0228714,0.986265,1552
Norovirus_GI.1d,Norovirus_GIII.1h,16.467,14,0.285693,0.0143209,0.0258054,1.08453,1552
Norovirus_GI.1d,Norovirus_GIII.1i,17.0272,15,0.317239,0.0141018,0.0253181,1.06543,1552
Norovirus_GI.1d,Norovirus_GIII.1j,13.8781,14,0.45883,0.0127408,0.0228714,0.995638,1552
Norovirus_GI.1d,Norovirus_GIV.1a,11.5711,14,0.640703,0.0135309,0.0173371,0.909125,1552
Norovirus_GI.1d,Norovirus_GIV.1b,11.9482,13,0.531897,0.016376,0.0103081,0.958693,1540
Norovirus_GI.1d,Norovirus_GIV.1c,23.6985,15,0.0703942,0.0198466,0.0114767,1.25694,1544
Norovirus_GI.1d,Norovirus_GIV.1d,13.245,13,0.429074,0.0171691,0.0102605,1.00938,1541
Norovirus_GI.1d,Norovirus_GIV.1e,11.5711,14,0.640703,0.0135309,0.0173371,0.909125,1552
Norovirus_GI.1d,Norovirus_GIV.1f,10.7949,14,0.702071,0.0128058,0.0168514,0.878101,1552
Norovirus_GI.1d,Norovirus_GIV.1g,11.7938,14,0.622861,0.0132048,0.0160178,0.91783,1552
Norovirus_GI.1d,Norovirus_GIV.1h,11.5711,14,0.640703,0.0135309,0.0173371,0.909125,1552
Norovirus_GI.1d,Norovirus_GIV.1i,11.6893,14,0.631235,0.0108393,0.015437,0.913758,1552
Norovirus_GI.1d,Norovirus_GIV.1j,11.637,14,0.635426,0.0108966,0.0153832,0.911711,1552
Norovirus_GI.1d,Norovirus_GV.1a,13.3958,14,0.495623,0.0129348,0.00874012,0.978183,1552
Norovirus_GI.1d,Norovirus_GV.1b,6.03769,13,0.94477,0.00916946,0.00605215,0.681497,1550
Norovirus_GI.1d,Norovirus_GV.1c,6.74444,13,0.914837,0.0103427,0.00795408,0.72028,1550
Norovirus_GI.1d,Norovirus_GV.1d,10.527,14,0.722725,0.012123,0.0102284,0.86714,1552
Norovirus_GI.1d,Norovirus_GV.1e,9.64918,14,0.787357,0.0109536,0.00699921,0.830197,1552
Norovirus_GI.1d,Norovirus_GV.1f,10.1876,14,0.748342,0.0102081,0.00794383,0.853045,1552
Norovirus_GI.1d,Norovirus_GV.1g,10.8229,14,0.699889,0.0110855,0.00794383,0.879241,1552
Norovirus_GI.1d,Norovirus_GV.1h,13.3958,14,0.495623,0.0129348,0.00874012,0.978183,1552
Norovirus_GI.1d,Norovirus_GV.1i,11.0415,14,0.682771,0.0113079,0.00804768,0.888077,1552
Norovirus_GI.1d,Norovirus_GV.1j,11.0415,14,0.682771,0.0113079,0.00804768,0.888077,1552
Norovirus_GI.1d,Norovirus_GVI.1a,13.7911,14,0.465386,0.0138493,0.0175513,0.992512,1552
Norovirus_GI.1d,Norovirus_GVI.1b,10.844,14,0.698247,0.0110292,0.014693,0.880097,1552
Norovirus_GI.1d,Norovirus_GVI.1c,9.14046,14,0.821949,0.0104095,0.0171203,0.808016,1552
Norovirus_GI.1d,Norovirus_GVI.1d,11.9506,14,0.610274,0.0129188,0.0153562,0.923911,1552
Norovirus_GI.1d,Norovirus_GVI.1e,11.9506,14,0.610274,0.0129188,0.0153562,0.923911,1552
Norovirus_GI.1d,Norovirus_GVI.1f,13.7911,14,0.465386,0.0138493,0.0175513,0.992512,1552
Norovirus_GI.1d,Norovirus_GVI.1g,12.178,14,0.59201,0.012749,0.0184627,0.932661,1551
Norovirus_GI.1d,Norovirus_GVI.1h,9.06381,14,0.826942,0.0102689,0.0174088,0.804621,1552
Norovirus_GI.1d,Norovirus_GVI.1i,11.316,14,0.661055,0.0102081,0.0143788,0.899046,1552
Norovirus_GI.1d,Norovirus_GVI.1j,11.316,14,0.661055,0.0102081,0.0143788,0.899046,1552
Norovirus_GI.1d,Norovirus_GVII.1a,19.9061,15,0.175565,0.0183294,0.0124756,1.15199,1546
Norovirus_GI.1d,Norovirus_GVIII.1a,10.0835,13,0.687091,0.0122253,0.00711686,0.880713,1552
Norovirus_GI.1d,Norwalk-like_virus,16.6361,15,0.341079,0.0145653,0.0106656,1.05313,1552
Norovirus_GI.1e,Norovirus_GI.1f,8.61667,12,0.735276,0.00397448,0.00789649,0.847382,1551
Norovirus_GI.1e,Norovirus_GI.1g,11.6,9,0.23681,0.00527407,0.00675779,1.13529,1552
